Species Number	Alpha Code	Common Name	Band Size	French Name	Scientific Name	T & E*	Comments	Taxonomic Order
10	WEGR 	Western Grebe 	7B, 7, 7A 	Grèbe élégant 	Aechmophorus occidentalis 			96
11	CLGR 	Clark's Grebe 	7A, 7, 7B 	Grèbe à face blanche 	Aechmophorus clarkii 			98
12	WCGR 	Western/Clark's Grebe 	7A, 7B 	Grèbe à face blanche/Grèbe élégant non identifiée 			Unspecified Aechmophorus occidentalis or A. clarkii. 	97
20	RNGR 	Red-necked Grebe 	7A, 7, 7B 	Grèbe jougris 	Podiceps grisegena 			94
30	HOGR 	Horned Grebe 	6, 5, 5A 	Grèbe esclavon 	Podiceps auritus 			93
40	EAGR 	Eared Grebe 	5, 5A 	Grèbe à cou noir 	Podiceps nigricollis 			95
50	LEGR 	Least Grebe 	4	Grèbe minime 	Tachybaptus dominicus 			91
60	PBGR 	Pied-billed Grebe 	5, 6, 5A 	Grèbe à bec bigarré 	Podilymbus podiceps 			92
70	COLO 	Common Loon 	8, 8A, 9 	Plongeon huard 	Gavia immer 			89
80	YBLO 	Yellow-billed Loon 	9, 8A 	Plongeon à bec blanc 	Gavia adamsii 			90
90	ARLO 	Arctic Loon 	7B 	Plongeon arctique 	Gavia arctica 			87
100	PALO 	Pacific Loon 	7B 	Plongeon du Pacifique 	Gavia pacifica 			88
110	RTLO 	Red-throated Loon 	7B 	Plongeon catmarin 	Gavia stellata 			86
120	TUPU 	Tufted Puffin 	6, 5, 5A 	Macareux huppé 	Fratercula cirrhata 			389
130	ATPU 	Atlantic Puffin 	5	Macareux moine 	Fratercula arctica 			387
140	HOPU 	Horned Puffin 	5, 5A 	Macareux cornu 	Fratercula corniculata 			388
150	RHAU 	Rhinoceros Auklet 	5, 6, 5A 	Macareux rhinocéros 	Cerorhinca monocerata 			386
160	CAAU 	Cassin's Auklet 	3, 3B, 3A 	Starique de Cassin 	Ptychoramphus aleuticus 			381
170	PAAU 	Parakeet Auklet 	4	Starique perroquet 	Aethia psittacula 			382
180	CRAU 	Crested Auklet 	4	Starique cristatelle 	Aethia cristatella 			385
190	WHAU 	Whiskered Auklet 	3	Starique pygmée 	Aethia pygmaea 			384
200	LEAU 	Least Auklet 	2, 3, 2A 	Starique minuscule 	Aethia pusilla 			383
210	ANMU 	Ancient Murrelet 	3, 3B 	Guillemot à cou blanc 	Synthliboramphus antiquus 			380
230	MAMU 	Marbled Murrelet 	3, 3B 	Guillemot marbré 	Brachyramphus marmoratus 	Y 		374
231	LBMU 	Long-billed Murrelet 	3B, 3 	Guillemot à long bec 	Brachyramphus perdix 			372
232	AMMU 	Alaska Marbled Murrelet 	3, 3B 		Brachyramphus marmoratus 		Alaskan populations of Marbled Murrelet (not endangered). 	373
240	KIMU 	Kittlitz's Murrelet 	3	Guillemot de Kittlitz 	Brachyramphus brevirostris 			375
250	XAMU 	Xantus's Murrelet 	2, 2A 	Guillemot de Xantus 			Unspecified Synthliboramphus scrippsi / S. hypoleucus. 	376
251	SCMU 	Scripps's Murrelet 	2, 2A 	Guillemot de Scripps 	Synthliboramphus scrippsi 		Split from XAMU (0250) in August 2012. 	377
252	GUMU 	Guadalupe Murrelet 	2, 2A 	Guillemot de Xantus 	Synthliboramphus hypoleucus 		Split from XAMU (0250) in August 2012. 	378
260	CRMU 	Craveri's Murrelet 	2	Guillemot de Craveri 	Synthliboramphus craveri 			379
270	BLGU 	Black Guillemot 	4, 4A 	Guillemot à miroir 	Cepphus grylle 			370
290	PIGU 	Pigeon Guillemot 	4, 4A 	Guillemot colombin 	Cepphus columba 			371
300	COMU 	Common Murre 	6M, 6 	Guillemot marmette 	Uria aalge 			367
310	TBMU 	Thick-billed Murre 	6M, 5R, 6, 5 	Guillemot de Brünnich 	Uria lomvia 			368
320	RAZO 	Razorbill 	5R, 6M 	Petit Pingouin 	Alca torda 			369
340	DOVE 	Dovekie 	3, 2A 	Mergule nain 	Alle alle 			366
350	GRSK 	Great Skua 	7A, 7B 	Grand Labbe 	Stercorarius skua 			359
352	SPSK 	South Polar Skua 	7A, 7B 	Labbe de McCormick 	Stercorarius maccormicki 			360
360	POJA 	Pomarine Jaeger 	5	Labbe pomarin 	Stercorarius pomarinus 			363
370	PAJA 	Parasitic Jaeger 	3A, 4, 4A 	Labbe parasite 	Stercorarius parasiticus 			364
380	LTJA 	Long-tailed Jaeger 	4, 4A 	Labbe à longue queue 	Stercorarius longicaudus 			365
390	IVGU 	Ivory Gull 	4	Mouette blanche 	Pagophila eburnea 	Newfoundland and Labrador Northwest Territories Nunavut 		392
391	MAGU 	Magellan Gull 	5	Goéland de Scoresby 	Leucophaeus scoresbii 			398
400	BLKI 	Black-legged Kittiwake 	4A, 5, 4 	Mouette tridactyle 	Rissa tridactyla 			390
410	RLKI 	Red-legged Kittiwake 	4A, 4, 3A 	Mouette des brumes 	Rissa brevirostris 			391
420	GLGU 	Glaucous Gull 	7A 	Goéland bourgmestre 	Larus hyperboreus 		Size 6 for northern subspecies, barrovanius. 	414
430	ICGU 	Iceland Gull 	6	Goéland arctique 	Larus glaucoides 			410
431	THGU 	Thayer's Gull 	6	Goéland de Thayer 	Larus thayeri 			409
440	GWGU 	Glaucous-winged Gull 	7A, 7, 7B 	Goéland à ailes grises 	Larus glaucescens 			413
446	HYGU 	Hybrid Gull 	6, 7A, 7 	Hybride de goélands 				417
470	GBBG 	Great Black-backed Gull 	7B, 7, 7A 	Goéland marin 	Larus marinus 			415
480	SBGU 	Slaty-backed Gull 	7A 	Goéland à manteau ardoisé 	Larus schistisagus 			412
490	WEGU 	Western Gull 	6, 7A 	Goéland d'Audubon 	Larus occidentalis 			405
491	YFGU 	Yellow-footed Gull 	6	Goéland de Cortez 	Larus livens 			406
500	LBBG 	Lesser Black-backed Gull 	6	Goéland brun 	Larus fuscus 			411
510	HERG 	Herring Gull 	6, 7A 	Goéland argenté 	Larus argentatus 			408
530	CAGU 	California Gull 	5, 5A 	Goéland de Californie 	Larus californicus 			407
534	UNGU 	Unidentified Gull 	5, 5A 	Goéland non identifié 			Explain in Remarks why the unidentified code was chosen 	418
540	RBGU 	Ring-billed Gull 	5, 4A, 5A 	Goéland à bec cerclé 	Larus delawarensis 			404
542	BTGU 	Band-tailed Gull 	5	Goéland siméon 	Larus belcheri 			401
550	MEGU 	Mew Gull 	4A, 4, 5 	Goéland cendré 	Larus canus 			403
551	BHGU 	Black-headed Gull 	5	Mouette rieuse 	Chroicocephalus ridibundus 			395
570	HEEG 	Heermann's Gull 	4A 	Goéland de Heermann 	Larus heermanni 			402
580	LAGU 	Laughing Gull 	5, 4A, 4 	Mouette atricille 	Leucophaeus atricilla 			399
590	FRGU 	Franklin's Gull 	4	Mouette de Franklin 	Leucophaeus pipixcan 			400
600	BOGU 	Bonaparte's Gull 	3, 3B 	Mouette de Bonaparte 	Chroicocephalus philadelphia 			394
601	LIGU 	Little Gull 	3	Mouette pygmée 	Hydrocoloeus minutus 			396
610	ROGU 	Ross's Gull 	3	Mouette rosée 	Rhodostethia rosea 	Manitoba Nunavut 		397
620	SAGU 	Sabine's Gull 	3, 3B 	Mouette de Sabine 	Xema sabini 			393
630	GBTE 	Gull-billed Tern 	3B, 3A 	Sterne hansel 	Gelochelidon nilotica 			431
