id,avibase id,rank,common_name,french_name,order,family,subfamily,genus,species,annotation,status_accidental,status_hawaiian,status_introduced,status_nonbreeding,status_extinct,status_misplaced
2,66C31E09F8C285D6,species,Highland Tinamou,Tinamou de Bonaparte,Tinamiformes,Tinamidae,,Nothocercus,Nothocercus bonapartei,,,,,,,
1,42D72AE118D2DE82,species,Great Tinamou,Grand Tinamou,Tinamiformes,Tinamidae,,Tinamus,Tinamus major,,,,,,,
3,39DD9DD76680A7F0,species,Little Tinamou,Tinamou soui,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus soui,,,,,,,
4,AAB5CEED3FC9EDE1,species,Thicket Tinamou,Tinamou cannelle,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus cinnamomeus,,,,,,,
5,5183B60E14DE99FD,species,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus boucardi,,,,,,,
6,2ED97B5485B54942,species,Choco Tinamou,Tinamou de Kerr,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus kerriae,Monotypic.,,,,,,
7,A534AFEA126DBD62,species,White-faced Whistling-Duck,Dendrocygne veuf,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna viduata,Monotypic.,,,,,,
8,C01A22D6C148AC65,species,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna autumnalis,,,,,,,
9,DC65FCE73C5A66BA,species,West Indian Whistling-Duck,Dendrocygne des Antilles,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna arborea,Monotypic.,,,,,,
10,9A60617EE376ABE9,species,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna bicolor,Monotypic.,,,,,,
12681,1E6F0F8D43759948,species,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anserinae,Anser,Anser canagicus,Monotypic. Formerly placed in the genus Chen.,,,,,,
12691,D3A260BCA65503C6,species,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anserinae,Anser,Anser caerulescens,Formerly placed in the genus Chen.,,,,,,
12701,7A24F57F87F66E97,species,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anserinae,Anser,Anser rossii,Formerly placed in the genus Chen.,,,,,,
2049,4AED44E819A43204,species,Graylag Goose,Oie cendrée,Anseriformes,Anatidae,Anserinae,Anser,Anser anser,,A,,,,,
14,466E9077BE220EBE,species,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anserinae,Anser,Anser albifrons,,,,,,,
