common_name,sci_name
Acadian Flycatcher,Empidonax virescens
Great Crested Flycatcher,Myiarchus crinitus
Eastern Wood-Pewee,Contopus virens
Red-eyed Vireo,Vireo olivaceus
Blue-headed Vireo,Vireo solitarius
Warbling Vireo,Vireo gilvus
Yellow-throated Vireo,Vireo flavifrons
Veery,Catharus fuscescens
Gray Catbird,Dumetella carolinensis
Yellow-throated Warbler,Setophaga dominica
Swainson's Warbler,Limnothlypis swainsonii
Hooded Warbler,Setophaga citrina
Kentucky Warbler,Geothlypis formosa
Louisiana Waterthrush,Parkesia motacilla
Northern Waterthrush,Parkesia noveboracensis
Black-and-white Warbler,Mniotilta varia
Northern Parula,Setophaga americana
American Redstart,Setophaga ruticilla
Worm-eating Warbler,Helmitheros vermivorum
Black-throated Green Warbler,Setophaga virens
Black-throated Blue Warbler,Setophaga caerulescens
Prothonotary Warbler,Protonotaria citrea
Cerulean Warbler,Setophaga cerulea
Ovenbird,Seiurus aurocapilla
Canada Warbler,Cardellina canadensis
Scarlet Tanager,Piranga olivacea
Summer Tanager,Piranga rubra
Rose-breasted Grosbeak,Pheucticus ludovicianus
Baltimore Oriole,Icterus galbula
Willow Flycatcher,Empidonax traillii
Alder Flycatcher,Empidonax alnorum
Least Flycatcher,Empidonax minimus
Eastern Kingbird,Tyrannus tyrannus
Bell's Vireo,Vireo bellii
White-eyed Vireo,Vireo griseus
Tree Swallow,Tachycineta bicolor
Northern Rough-winged Swallow,Stelgidopteryx serripennis
Barn Swallow,Hirundo rustica
Bank Swallow,Riparia riparia
Cliff Swallow,Petrochelidon pyrrhonota
Purple Martin,Progne subis
Blue-winged Warbler,Vermivora cyanoptera
Golden-winged Warbler,Vermivora chrysoptera
Nashville Warbler,Oreothlypis ruficapilla
Chestnut-sided Warbler,Setophaga pensylvanica
Yellow Warbler,Setophaga petechia
Prairie Warbler,Setophaga discolor
Mourning Warbler,Geothlypis philadelphia
Kirtland's Warbler,Setophaga kirtlandii
Vesper Sparrow,Pooecetes gramineus
Nelson's Sparrow,Ammodramus nelsoni
Indigo Bunting,Passerina cyanea
Blue Grosbeak,Passerina caerulea
Dickcissel,Spiza americana
Orchard Oriole,Icterus spurius
Bobolink,Dolichonyx oryzivorus
Olive-sided Flycatcher,Contopus cooperi
Yellow-bellied Flycatcher,Empidonax flaviventris
Golden-crowned Kinglet,Regulus satrapa
Ruby-crowned Kinglet,Regulus calendula
Philadelphia Vireo,Vireo philadelphicus
Winter Wren,Troglodytes hiemalis
Hermit Thrush,Catharus guttatus
Swainson's Thrush,Catharus ustulatus
Bicknell's Thrush,Catharus bicknelli
Gray-cheeked Thrush,Catharus minimus
Blackburnian Warbler,Setophaga fusca
Blackpoll Warbler,Setophaga striata
Cape May Warbler,Setophaga tigrina
Tennessee Warbler,Oreothlypis peregrina
Bay-breasted Warbler,Setophaga castanea
Palm Warbler,Setophaga palmarum
Orange-crowned Warbler,Oreothlypis celata
Wilson's Warbler,Cardellina pusilla
Connecticut Warbler,Oporornis agilis
Magnolia Warbler,Setophaga magnolia
Yellow-rumped Warbler,Setophaga coronata
Fox Sparrow,Passerella iliaca
Lincoln's Sparrow,Melospiza lincolnii
American Tree Sparrow,Spizelloides arborea
Dark-eyed Junco,Junco hyemalis
White-crowned Sparrow,Zonotrichia leucophrys
White-throated Sparrow,Zonotrichia albicollis
Rusty Blackbird,Euphagus carolinus
Mississippi Kite,Ictinia mississippiensis
Swallow-tailed Kite,Elanoides forficatus
Ruby-throated Hummingbird,Archilochus colubris
Black-billed Cuckoo,Coccyzus erythropthalmus
Yellow-billed Cuckoo,Coccyzus americanus
Eastern Whip-poor-will,Antrostomus vociferus
Chuck-will's-widow,Antrostomus carolinensis
Yellow-bellied Sapsucker,Sphyrapicus varius
Eastern Phoebe,Sayornis phoebe
Cedar Waxwing,Bombycilla cedrorum
Blue Jay,Cyanocitta cristata
American Robin,Turdus migratorius
Blue-gray Gnatcatcher,Polioptila caerulea
Pine Warbler,Setophaga pinus
Bachman's Sparrow,Peucaea aestivalis
Painted Bunting,Passerina ciris
American Goldfinch,Spinus tristis
Common Yellowthroat,Geothlypis trichas
Yellow-breasted Chat,Icteria virens
Northern Mockingbird,Mimus polyglottos
Loggerhead Shrike,Lanius ludovicianus
Swamp Sparrow,Melospiza georgiana
Common Grackle,Quiscalus quiscula
Savannah Sparrow,Passerculus sandwichensis
Saltmarsh Sparrow,Ammodramus caudacutus
Chipping Sparrow,Spizella passerina
Eastern Towhee,Pipilo erythrophthalmus
House Wren,Troglodytes aedon
Eastern Meadowlark,Sturnella magna
Eastern Bluebird,Sialia sialis
Marsh Wren,Cistothorus palustris
Fish Crow,Corvus ossifragus
Red-winged Blackbird,Agelaius phoeniceus
