Created by SQL on 02/27/2018
 
This text file provides information regarding the "Stratum" field  found in the "Routes" file available on the BBS FTP site.

North American Breeding Bird Survey physiographic strata.

Source:
Droege, Sam. 1990. The North American Breeding Bird Survey. pages 1-4. in J.R. Sauer and S. Droege, eds. Survey designs and statistical methods for the estimation of avian population trends. USFWS Biological Report 90(1). 160 pp. As modified from --
Bystrak, Danny. 1981. The North American Breeding Bird Survey. pages 34-41. in C.J. Ralph and J.M. Scott, eds. Estimating numbers of terrestrial birds. Studies in Avian Biology No. 6. 630 pp.

For more information regarding North American Breeding Bird Survey strata go to:
http://www.pwrc.usgs.gov/bbs/StrataNames/index.html
 
 
StratumID StratumName                              StratumNameFrench                        StratumNameSpanish                      
--------- ---------------------------------------- ---------------------------------------- ----------------------------------------
        1 Sub-tropical                             NULL                                     Sub tropical                            
        2 Floridian                                NULL                                     Floridano                               
        3 Coastal Flatwoods                        NULL                                     Flatwoods costeros (reg del Mississippi)
        4 Upper Coastal Plain                      NULL                                     Planicie Costera Superior               
        5 Mississippi Alluvial Plain               NULL                                     Planicie Aluvial de Mississippi         
        6 Coastal Prairies                         NULL                                     Praderas Costeras                       
        7 South Texas Brushlands                   NULL                                     Arbustos del Sur de Texas               
        8 East Texas Prairies                      NULL                                     Praderas del Este de Texas              
        9 Glaciated Coastal Plain                  NULL                                     Planicies Costeras Glaciares            
       10 Northern Piedmont                        NULL                                     Pie de Monte del Norte                  
       11 Southern Piedmont                        NULL                                     Pie de Monte del Sur                    
       12 Southern New England                     NULL                                     Sur de Nueva Inglaterra                 
       13 Ridge and Valley                         NULL                                     Montes y Valles                         
       14 Highland Rim                             NULL                                     Márgen de Tierras Altas                 
       15 Lexington Plain                          NULL                                     Planicies de Lexington                  
       16 Great Lakes Plain                        NULL                                     Planicies de los Grandes Lagos          
       17 Driftless Area                           NULL                                     Áreas de Deriva                         
       18 St. Lawrence River Plain                 Plaine du fleuve Saint-Laurent           Planicie Riparia de St. Lawrence        
       19 Ozark-Ouachita Plateau                   NULL                                     Meseta Ozark-Ouachita                   
       20 Great Lakes Transition                   NULL                                     Transición de Grandes Lagos             
       21 Cumberland Plateau                       NULL                                     Meseta Cumberland                       
       22 Ohio Hills                               NULL                                     Colinas de Ohio                         
       23 Blue Ridge Mountains                     NULL                                     Montañas Blue Ridge                     
       24 Allegheny Plateau                        NULL                                     Meseta Allegheny                        
       25 Open Boreal Forest                       Forêt boréale clairsemée                 Bosque Boreal Abierto                   
       26 Adirondack Mountains                     Monts Adirondack                         Montañas Adirondack                     
       27 Northern New England                     Nord de la Nouvelle-Angleterre           Norte de Nueva Inglaterra               
