USFWS CODE	USFWS NAME
USFWS_1		FEATHERSTONE NATIONAL WILDLIFE REFUGE
USFWS_2		ARCHIE CARR NATIONAL WILDLIFE REFUGE
USFWS_3		BALD KNOB NATIONAL WILDLIFE REFUGE
USFWS_4		GREEN CAY NATIONAL WILDLIFE REFUGE
USFWS_5		SEAL BEACH NATIONAL WILDLIFE REFUGE
USFWS_6		LAKE ALICE NATIONAL WILDLIFE REFUGE
USFWS_7		CHARLES M. RUSSELL NATIONAL WILDLIFE REFUGE
USFWS_8		TRINITY RIVER NATIONAL WILDLIFE REFUGE
USFWS_9		NOMANS LAND ISLAND NATIONAL WILDLIFE REFUGE
USFWS_10	CAROLINA SANDHILLS NATIONAL WILDLIFE REFUGE
USFWS_11	AUDUBON NATIONAL WILDLIFE REFUGE
USFWS_12	AGASSIZ NATIONAL WILDLIFE REFUGE
USFWS_13	KIDDER COUNTY WATERFOWL PRODUCTION AREA
USFWS_14	WILLIAM L. FINLEY NATIONAL WILDLIFE REFUGE
USFWS_15	FILMORE COUNTY WATERFOWL PRODUCTION AREA
USFWS_16	BOWDOIN NATIONAL WILDLIFE REFUGE
USFWS_17	J. CLARK SALYER NATIONAL WILDLIFE REFUGE
USFWS_18	LYON COUNTY WATERFOWL PRODUCTION AREA
USFWS_19	AITKIN COUNTY WATERFOWL PRODUCTION AREA
USFWS_20	KODIAK NATIONAL WILDLIFE REFUGE
USFWS_21	STEVENS COUNTY WATERFOWL PRODUCTION AREA
USFWS_22	WINTHROP NATIONAL FISH HATCHERY
USFWS_23	ST. CATHERINE CREEK NATIONAL WILDLIFE REFUGE
USFWS_24	LAGUNA ATASCOSA NATIONAL WILDLIFE REFUGE
USFWS_25	HYDE COUNTY WATERFOWL PRODUCTION AREA
USFWS_26	CHIPPEWA COUNTY WATERFOWL PRODUCTION AREA
USFWS_27	CHINCOTEAGUE NATIONAL WILDLIFE REFUGE
USFWS_28	EAGLE CREEK NATIONAL FISH HATCHERY
USFWS_29	WHITE RIVER NATIONAL FISH HATCHERY
USFWS_30	CANFIELD LAKE NATIONAL WILDLIFE REFUGE
USFWS_31	CAT ISLAND NATIONAL WILDLIFE REFUGE
USFWS_32	MCGREGOR ADMINISTRATIVE SITE
USFWS_33	CHOUTEAU COUNTY WATERFOWL PRODUCTION AREA
USFWS_34	LAGUNA CARTAGENA NATIONAL WILDLIFE REFUGE
USFWS_35	BEAR LAKE NATIONAL WILDLIFE REFUGE
USFWS_36	TRUSTOM POND NATIONAL WILDLIFE REFUGE
USFWS_37	LAKE WALES RIDGE NATIONAL WILDLIFE REFUGE
USFWS_38	MARROWSTONE WILDLIFE MANAGEMENT AREA
USFWS_39	BENSON COUNTY WATERFOWL PRODUCTION AREA
USFWS_40	WARD COUNTY WATERFOWL PRODUCTION AREA
USFWS_41	LENORE GAME RANGE
USFWS_42	NESTUCCA BAY NATIONAL WILDLIFE REFUGE
USFWS_43	HANALEI NATIONAL WILDLIFE REFUGE
USFWS_44	SILETZ BAY NATIONAL WILDLIFE REFUGE
USFWS_45	FARM SERVICE AGENCY INTEREST OF LA
USFWS_46	HAND COUNTY WATERFOWL PRODUCTION AREA
USFWS_47	JARVIS ISLAND NATIONAL WILDLIFE REFUGE
USFWS_48	GOLDEN VALLEY COUNTY WATERFOWL PRODUCTION AREA
USFWS_49	TWO PONDS NATIONAL WILDLIFE REFUGE
USFWS_50	LIVINGSTON STONE NATIONAL FISH HATCHERY
USFWS_51	NORTHERN TALLGRASS PRAIRIE NATIONAL WILDLIFE REFUGE
USFWS_52	CIBOLA NATIONAL WILDLIFE REFUGE
USFWS_53	NECEDAH WILDLIFE MANAGEMENT AREA
USFWS_54	ENTIAT NATIONAL FISH HATCHERY
USFWS_55	KINGMAN REEF NATIONAL WILDLIFE REFUGE
USFWS_56	GREAT RIVER NATIONAL WILDLIFE REFUGE
USFWS_57	FARM SERVICE AGENCY INTEREST OF IN
USFWS_58	BLACKWATER NATIONAL WILDLIFE REFUGE
USFWS_59	FARM SERVICE AGENCY INTEREST OF UT
USFWS_60	ASSABET RIVER NATIONAL WILDLIFE REFUGE
USFWS_61	HURON NATIONAL WILDLIFE REFUGE
USFWS_62	KOFA NATIONAL WILDLIFE REFUGE
USFWS_63	WAPANOCCA NATIONAL WILDLIFE REFUGE
USFWS_64	SUMMER LAKE MIGRATORY WATERFOWL AND GAME MANAGEMENT AREA
USFWS_65	KEALIA POND NATIONAL WILDLIFE REFUGE
USFWS_66	SAN LUIS NATIONAL WILDLIFE REFUGE
USFWS_67	HANDY BRAKE NATIONAL WILDLIFE REFUGE
USFWS_68	IZEMBEK NATIONAL WILDLIFE REFUGE
USFWS_69	GREAT DISMAL SWAMP NATIONAL WILDLIFE REFUGE
USFWS_70	BILL WILLIAMS RIVER NATIONAL WILDLIFE REFUGE
USFWS_71	GREAT WHITE HERON NATIONAL WILDLIFE REFUGE
USFWS_72	WELAKA NATIONAL FISH HATCHERY
USFWS_73	RICHLAND COUNTY WATERFOWL PRODUCTION AREA
USFWS_74	TIJUANA SLOUGH NATIONAL WILDLIFE REFUGE
USFWS_75	SELAWIK NATIONAL WILDLIFE REFUGE
USFWS_76	HALL COUNTY WATERFOWL PRODUCTION AREA
USFWS_77	VALLE DE ORO NATIONAL WILDLIFE REFUGE
USFWS_78	CADDO LAKE NATIONAL WILDLIFE REFUGE
USFWS_79	BOONE COUNTY WATERFOWL PRODUCTION AREA
USFWS_80	PEA ISLAND NATIONAL WILDLIFE REFUGE
USFWS_81	BUENOS AIRES NATIONAL WILDLIFE REFUGE
USFWS_82	FRANKLIN COUNTY WATERFOWL PRODUCTION AREA
USFWS_83	LITTLE PEND OREILLE NATIONAL WILDLIFE REFUGE
USFWS_84	RENVILLE COUNTY WATERFOWL PRODUCTION AREA
USFWS_85	CRYSTAL RIVER NATIONAL WILDLIFE REFUGE
USFWS_86	SANTEE NATIONAL WILDLIFE REFUGE
USFWS_87	STUTSMAN COUNTY WATERFOWL PRODUCTION AREA
USFWS_88	JOHN W. AND LOUISE SEIER NATIONAL WILDLIFE REFUGE
USFWS_89	FRANKLIN ISLAND NATIONAL WILDLIFE REFUGE
USFWS_90	CEDAR KEYS NATIONAL WILDLIFE REFUGE
USFWS_91	GUTHRIE COUNTY WATERFOWL PRODUCTION AREA
USFWS_92	STEARNS COUNTY WATERFOWL PRODUCTION AREA
USFWS_93	MOSES LAKE WILDLIFE ADMINISTRATIVE SITE
USFWS_94	CLAY COUNTY WATERFOWL PRODUCTION AREA
USFWS_95	WAR HORSE NATIONAL WILDLIFE REFUGE
USFWS_96	LOOKINGGLASS FISH HATCHERY
USFWS_97	MAGIC VALLEY HATCHERY
USFWS_98	MINNEHAHA COUNTY WATERFOWL PRODUCTION AREA
USFWS_99	STONE LAKES NATIONAL WILDLIFE REFUGE
USFWS_100	SCOTT COUNTY WATERFOWL PRODUCTION AREA
USFWS_101	RACHEL CARSON NATIONAL WILDLIFE REFUGE
USFWS_102	CATAHOULA NATIONAL WILDLIFE REFUGE
USFWS_103	MIDWAY ATOLL NATIONAL WILDLIFE REFUGE
USFWS_104	GREEN BAY NATIONAL WILDLIFE REFUGE
USFWS_105	CHERRY VALLEY NATIONAL WILDLIFE REFUGE
USFWS_106	BLOCK ISLAND NATIONAL WILDLIFE REFUGE
USFWS_107	ANAHO ISLAND NATIONAL WILDLIFE REFUGE
USFWS_108	EDENTON NATIONAL FISH HATCHERY
USFWS_109	MATHEWS BRAKE NATIONAL WILDLIFE REFUGE
USFWS_110	OVERFLOW NATIONAL WILDLIFE REFUGE
USFWS_111	FLINT HILLS NATIONAL WILDLIFE REFUGE
USFWS_112	UNION COUNTY WATERFOWL PRODUCTION AREA
USFWS_113	GRAVEL ISLAND NATIONAL WILDLIFE REFUGE
USFWS_114	MARTIN COUNTY WATERFOWL PRODUCTION AREA
USFWS_115	SHELDON NATIONAL WILDLIFE REFUGE
USFWS_116	DUNN COUNTY WATERFOWL PRODUCTION AREA
USFWS_117	SEAL ISLAND NATIONAL WILDLIFE REFUGE
USFWS_118	PASSAGE KEY NATIONAL WILDLIFE REFUGE
USFWS_119	MERCED NATIONAL WILDLIFE REFUGE
USFWS_120	CHOCTAW NATIONAL WILDLIFE REFUGE
USFWS_121	PIERCE COUNTY WATERFOWL PRODUCTION AREA
USFWS_122	NELSON COUNTY WATERFOWL PRODUCTION AREA
USFWS_123	NATIONAL BISON RANGE
USFWS_124	TWO RIVERS NATIONAL WILDLIFE REFUGE
USFWS_125	LITTLE SANDY NATIONAL WILDLIFE REFUGE
USFWS_126	SUNBURST LAKE NATIONAL WILDLIFE REFUGE
USFWS_127	ERWIN NATIONAL FISH HATCHERY
USFWS_128	DANIELS COUNTY WATERFOWL PRODUCTION AREA
USFWS_129	SEQUOYAH NATIONAL WILDLIFE REFUGE
USFWS_130	FLATHEAD COUNTY WATERFOWL PRODUCTION AREA
USFWS_131	ALASKA PENINSULA NATIONAL WILDLIFE REFUGE
USFWS_132	WAPACK NATIONAL WILDLIFE REFUGE
USFWS_133	MUSSELSHELL COUNTY WATERFOWL PRODUCTION AREA
USFWS_134	BROWNS PARK NATIONAL WILDLIFE REFUGE
USFWS_135	BLACK COULEE NATIONAL WILDLIFE REFUGE
USFWS_136	MARAIS DES CYGNES NATIONAL WILDLIFE REFUGE
USFWS_137	UL BEND NATIONAL WILDLIFE REFUGE
USFWS_138	WILLAPA NATIONAL WILDLIFE REFUGE
USFWS_139	BUFFALO LAKE NATIONAL WILDLIFE REFUGE
USFWS_140	COACHELLA VALLEY NATIONAL WILDLIFE REFUGE
USFWS_141	COLUMBIA COUNTY WATERFOWL PRODUCTION AREA
USFWS_142	GUAM NATIONAL WILDLIFE REFUGE
USFWS_143	LOSTWOOD NATIONAL WILDLIFE REFUGE
USFWS_144	PONDERA COUNTY WATERFOWL PRODUCTION AREA
USFWS_145	WEST SISTER ISLAND NATIONAL WILDLIFE REFUGE
USFWS_146	FORT NIOBRARA NATIONAL WILDLIFE REFUGE
USFWS_147	OTTAWA NATIONAL WILDLIFE REFUGE
USFWS_148	LAKE OPHELIA NATIONAL WILDLIFE REFUGE
USFWS_149	DALE BUMPERS WHITE RIVER NATIONAL WILDLIFE REFUGE
USFWS_150	COLEMAN NATIONAL FISH HATCHERY
USFWS_151	HAMDEN SLOUGH NATIONAL WILDLIFE REFUGE
USFWS_152	BOMBAY HOOK NATIONAL WILDLIFE REFUGE
USFWS_153	BARNES COUNTY WATERFOWL PRODUCTION AREA
USFWS_154	EMMET COUNTY WATERFOWL PRODUCTION AREA
USFWS_155	BAYOU SAUVAGE NATIONAL WILDLIFE REFUGE
USFWS_156	DOUGLAS COUNTY WATERFOWL PRODUCTION AREA
USFWS_157	PATUXENT RESEARCH REFUGE
USFWS_158	RAPPAHANNOCK RIVER VALLEY NATIONAL WILDLIFE REFUGE
USFWS_159	SWIFT COUNTY WATERFOWL PRODUCTION AREA
USFWS_160	MAHNOMEN COUNTY WATERFOWL PRODUCTION AREA
USFWS_161	KEY CAVE NATIONAL WILDLIFE REFUGE
USFWS_162	LOWER HATCHIE NATIONAL WILDLIFE REFUGE
USFWS_163	SAN DIEGO NATIONAL WILDLIFE REFUGE
USFWS_164	SARATOGA NATIONAL FISH HATCHERY
USFWS_165	OTTER TAIL COUNTY WATERFOWL PRODUCTION AREA
USFWS_166	BILLY FRANK JR. NISQUALLY NATIONAL WILDLIFE REFUGE
USFWS_167	SWANQUARTER NATIONAL WILDLIFE REFUGE
USFWS_168	JEFFERSON COUNTY WATERFOWL PRODUCTION AREA
USFWS_169	LONG LAKE NATIONAL WILDLIFE REFUGE
USFWS_170	RED ROCK LAKES NATIONAL WILDLIFE REFUGE
USFWS_171	ARROWWOOD NATIONAL WILDLIFE REFUGE
USFWS_172	CAPE MEARES NATIONAL WILDLIFE REFUGE
USFWS_173	PINCKNEY ISLAND NATIONAL WILDLIFE REFUGE
USFWS_174	CHASE LAKE NATIONAL WILDLIFE REFUGE
USFWS_175	TENSAS RIVER NATIONAL WILDLIFE REFUGE
USFWS_176	BIG BOGGY NATIONAL WILDLIFE REFUGE
USFWS_177	TISHOMINGO NATIONAL WILDLIFE REFUGE
USFWS_178	LOWER RIO GRANDE VALLEY NATIONAL WILDLIFE REFUGE
USFWS_179	MEEKER COUNTY WATERFOWL PRODUCTION AREA
USFWS_180	PARKER RIVER NATIONAL WILDLIFE REFUGE
USFWS_181	SONNY BONO SALTON SEA NATIONAL WILDLIFE REFUGE
USFWS_182	FARM SERVICE AGENCY INTEREST OF MN
USFWS_183	PETIT MANAN NATIONAL WILDLIFE REFUGE
USFWS_184	BON HOMME COUNTY WATERFOWL PRODUCTION AREA
USFWS_185	FARM SERVICE AGENCY INTEREST OF MI
USFWS_186	FARM SERVICE AGENCY INTEREST OF MT
USFWS_187	BAYOU TECHE NATIONAL WILDLIFE REFUGE
USFWS_188	NEAL SMITH NATIONAL WILDLIFE REFUGE
USFWS_189	FARM SERVICE AGENCY INTEREST OF MS
USFWS_190	OLINDA ADMINISTRATIVE SITE
USFWS_191	YAZOO NATIONAL WILDLIFE REFUGE
USFWS_192	HAKALAU FOREST NATIONAL WILDLIFE REFUGE
USFWS_193	CACHE RIVER NATIONAL WILDLIFE REFUGE
USFWS_194	OZARK PLATEAU NATIONAL WILDLIFE REFUGE
USFWS_195	HOLLA BEND NATIONAL WILDLIFE REFUGE
USFWS_196	ROCK COUNTY WATERFOWL PRODUCTION AREA
USFWS_197	YANKTON COUNTY WATERFOWL PRODUCTION AREA
USFWS_198	LAKEVIEW WILDLIFE ADMINISTRATIVE SITE
USFWS_199	MCLEOD COUNTY WATERFOWL PRODUCTION AREA
USFWS_200	BENTON LAKE NATIONAL WILDLIFE REFUGE
USFWS_201	ROSE ATOLL NATIONAL WILDLIFE REFUGE
USFWS_202	HAMLIN COUNTY WATERFOWL PRODUCTION AREA
USFWS_203	SACHUEST POINT NATIONAL WILDLIFE REFUGE
USFWS_204	LOGAN CAVE NATIONAL WILDLIFE REFUGE
USFWS_205	MAXWELL NATIONAL WILDLIFE REFUGE
USFWS_206	NATIONAL KEY DEER REFUGE
USFWS_207	OCCOQUAN BAY NATIONAL WILDLIFE REFUGE
USFWS_208	POCOSIN LAKES NATIONAL WILDLIFE REFUGE
USFWS_209	SANBORN COUNTY WATERFOWL PRODUCTION AREA
USFWS_210	BROOKINGS COUNTY WATERFOWL PRODUCTION AREA
USFWS_211	NORTH ATTLEBORO NATIONAL FISH HATCHERY
USFWS_212	CAPE ROMAIN NATIONAL WILDLIFE REFUGE
USFWS_213	QUIVIRA NATIONAL WILDLIFE REFUGE
USFWS_214	RICHARD CRONIN NATIONAL SALMON STATION
USFWS_215	STEWART LAKE NATIONAL WILDLIFE REFUGE
USFWS_216	WASECA COUNTY WATERFOWL PRODUCTION AREA
USFWS_217	MINER COUNTY WATERFOWL PRODUCTION AREA
USFWS_218	KOYUKUK NATIONAL WILDLIFE REFUGE
USFWS_219	IROQUOIS NATIONAL WILDLIFE REFUGE
USFWS_220	CERRO GORDO COUNTY WATERFOWL PRODUCTION AREA
USFWS_221	OXBOW NATIONAL WILDLIFE REFUGE
USFWS_222	FARM SERVICE AGENCY INTEREST OF FL
USFWS_223	VIEQUES NATIONAL WILDLIFE REFUGE
USFWS_224	IRON RIVER NATIONAL FISH HATCHERY
USFWS_225	SENEY NATIONAL WILDLIFE REFUGE
USFWS_226	GARRISON DAM NATIONAL FISH HATCHERY
USFWS_227	SAN PABLO BAY NATIONAL WILDLIFE REFUGE
USFWS_228	ST. MARKS NATIONAL WILDLIFE REFUGE
USFWS_229	MILLE LACS NATIONAL WILDLIFE REFUGE
USFWS_230	CAMERON PRAIRIE NATIONAL WILDLIFE REFUGE
USFWS_231	STORM LAKE NATIONAL WILDLIFE REFUGE
USFWS_232	HULEIA NATIONAL WILDLIFE REFUGE
USFWS_233	FLATTERY ROCKS NATIONAL WILDLIFE REFUGE
USFWS_234	CARVER COUNTY WATERFOWL PRODUCTION AREA
USFWS_235	SULLIVAN CREEK NATIONAL FISH HATCHERY
USFWS_236	WILLOW LAKE NATIONAL WILDLIFE REFUGE
USFWS_237	WALLOPS ISLAND NATIONAL WILDLIFE REFUGE
USFWS_238	CLARKS RIVER NATIONAL WILDLIFE REFUGE
USFWS_239	HACKMATACK NATIONAL WILDLIFE REFUGE
USFWS_240	WOLF CREEK NATIONAL FISH HATCHERY
USFWS_241	MAKAH NATIONAL FISH HATCHERY
USFWS_242	COLORADO RIVER WILDLIFE MANAGEMENT AREA
USFWS_243	GUADALUPE-NIPOMO DUNES NATIONAL WILDLIFE REFUGE
USFWS_244	OZAUKEE COUNTY WATERFOWL PRODUCTION AREA
USFWS_245	DEEP FORK NATIONAL WILDLIFE REFUGE
USFWS_246	CRESCENT LAKE NATIONAL WILDLIFE REFUGE
USFWS_247	SAN JOAQUIN RIVER NATIONAL WILDLIFE REFUGE
USFWS_248	MONOMOY NATIONAL WILDLIFE REFUGE
USFWS_249	DWORSHAK NATIONAL FISH HATCHERY
USFWS_250	RICE COUNTY WATERFOWL PRODUCTION AREA
USFWS_251	SILVIO O. CONTE NATIONAL FISH AND WILDLIFE REFUGE
USFWS_252	PANTHER SWAMP NATIONAL WILDLIFE REFUGE
USFWS_253	PEE DEE NATIONAL WILDLIFE REFUGE
USFWS_254	BLUE EARTH COUNTY WATERFOWL PRODUCTION AREA
USFWS_255	NEOSHO NATIONAL FISH HATCHERY
USFWS_256	COTTONWOOD COUNTY WATERFOWL PRODUCTION AREA
USFWS_257	STILLWATER NATIONAL WILDLIFE REFUGE
USFWS_258	EVERGLADES HEADWATERS NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA
